y_DE,D_S,N_C,N_N,Ontology
0.3560834862683512,9.49903755605274e-10,4.0,1.0,amino acid
0.20470414286909377,7.769999568568409e-10,7.0,0.0,organic acid
0.2047041428690938,7.352169979379633e-10,7.0,0.0,organic acid
0.2553497908328934,8.912226171694664e-10,5.0,1.0,amino acid
0.07899765954929328,5.933188819847601e-10,15.0,0.0,organic acid
0.501677461450288,8.298120345002763e-10,5.0,5.0,nucleotide
0.18172455876983948,5.900633887792499e-10,10.0,5.0,nucleotide
0.5901601196280719,1.0219468468836887e-9,3.0,1.0,amino acid
0.2882890293507321,7.980467839246366e-10,5.0,0.0,organic acid
0.36843208379784453,7.308448050736821e-10,6.0,4.0,amino acid
0.4543113969245988,8.392080485829305e-10,4.0,2.0,amino acid
0.1912582910866442,7.6454366327924e-10,7.0,1.0,other
0.11488464143534968,6.171325950700659e-10,10.0,2.0,organic acid
0.158074991854691,7.18661836644639e-10,9.0,0.0,organic acid
0.19644491740054756,9.45099723352426e-10,5.0,1.0,other
0.23994546417677193,7.310397177755628e-10,6.0,0.0,organic acid
0.18484900736372298,6.185202236299691e-10,9.0,3.0,nucleotide
0.2268575135626521,7.528716303641898e-10,6.0,0.0,sugar
0.18172455876983948,5.900636316569765e-10,10.0,5.0,nucleotide
0.1185562438910182,5.213740592180246e-10,12.0,0.0,sugar
0.1185562438910182,5.213740592180246e-10,12.0,0.0,sugar
0.3599181962651578,8.9533699085671e-10,4.0,0.0,organic acid
0.3560834862683512,9.49903755605274e-10,4.0,1.0,amino acid
0.9086227938491972,1.1133382939817694e-9,2.0,1.0,amino acid
0.2553497908328934,8.912226171694664e-10,5.0,1.0,other
0.4998698849684834,7.846591472543202e-10,5.0,5.0,nucleotide
0.18265935771867203,5.731557287369195e-10,10.0,5.0,nucleotide
0.2371124877820365,7.186648683627478e-10,6.0,0.0,sugar
0.2371124877820365,7.186648683627478e-10,6.0,0.0,sugar
0.3033618360251691,7.744050845591358e-10,6.0,3.0,amino acid
0.41553455464743133,8.838117106298565e-10,4.0,1.0,amino acid
0.4372315045019785,8.268048856835888e-10,5.0,4.0,nucleotide
0.15316680371266447,7.287916976542285e-10,10.0,1.0,auxin
0.17309573960823094,5.889794175883383e-10,10.0,4.0,nucleotide
0.1974220950358073,8.422191254249459e-10,6.0,1.0,amino acid
0.09277296927566792,6.652157063448585e-10,12.0,0.0,organic acid
0.40312006923777466,8.360980357026308e-10,4.0,1.0,amino acid
0.17537903419942152,7.597479639962486e-10,7.0,1.0,amino acid
0.32165428601138635,7.287878703464825e-10,6.0,3.0,amino acid
0.31162866369348785,7.952451907511897e-10,5.0,1.0,amino acid
0.31995347894623927,8.423639467704823e-10,5.0,1.0,amino acid
0.31162866369348785,8.489145314923599e-10,5.0,1.0,amino acid
0.1673193939944718,7.166138954406794e-10,9.0,1.0,amino acid
0.474224975564073,1.016345603639673e-9,3.0,0.0,organic acid
0.1974220950358073,8.422256744893867e-10,6.0,1.0,amino acid
0.05139363327845278,5.76005191716174e-10,18.0,0.0,fatty acid
0.23328170596395648,7.978023444690735e-10,6.0,2.0,amino acid
0.3599181962651578,8.330222203628443e-10,4.0,0.0,organic acid
0.47570427276319505,9.45596113049685e-10,3.0,0.0,organic acid
0.15725686109345094,7.896746688368125e-10,5.0,1.0,amino acid
0.18871081291121883,6.48560384497599e-10,8.0,1.0,sugar
0.2556355138399206,8.693706170832472e-10,6.0,1.0,organic acid
0.3111024533018842,8.390713243372079e-10,5.0,2.0,amino acid
0.15260136498969187,6.51471875375144e-10,9.0,1.0,organic acid
0.28453498533844385,7.872579193775156e-10,5.0,0.0,sugar
0.28453498533844385,7.872579193775156e-10,5.0,0.0,sugar
0.28453498533844385,7.872576571853986e-10,5.0,0.0,sugar
0.15260136498969185,7.505157957770912e-10,9.0,1.0,amino acid
0.28777453840355643,8.989911996203309e-10,5.0,1.0,amino acid
0.2032392752417455,8.207695771557746e-10,7.0,0.0,organic acid
0.554547022091169,9.409456223755797e-10,3.0,1.0,amino acid
0.20323927524174545,7.309493351131698e-10,7.0,0.0,organic acid
0.11631477035781473,6.652837349065133e-10,11.0,0.0,organic acid
0.17537903419942144,8.061279829896762e-10,7.0,1.0,other
0.35958538737167506,8.876622526491322e-10,4.0,0.0,organic acid
0.2371124877820365,7.186648683627478e-10,6.0,0.0,sugar
0.15807499185469098,6.852179362476956e-10,9.0,0.0,organic acid
0.39392866298980794,8.622608720608857e-10,2.0,1.0,organic acid
0.109409537951972,5.921563523544322e-10,12.0,4.0,organic acid
0.35958538737167506,8.268310678591145e-10,4.0,0.0,organic acid
0.41553455464743133,8.838124525865045e-10,4.0,1.0,amino acid
0.15480600576080575,6.197805259434752e-10,10.0,2.0,nucleotide
0.14644631843577857,7.924779252932475e-10,9.0,0.0,organic acid
0.14229292673350297,6.922196354698922e-10,10.0,0.0,organic acid
0.21868116775611304,8.237109991026059e-10,7.0,1.0,organic acid
0.14740476739771005,6.749877745814753e-10,11.0,2.0,amino acid
0.45802643237106117,9.111152650817527e-10,4.0,2.0,nucleotide
0.17599994331462973,6.172719008728859e-10,9.0,2.0,nucleotide
0.2553497908328934,8.912226171694664e-10,5.0,1.0,amino acid
0.17783436583652737,7.438860863323762e-10,8.0,0.0,organic acid
0.17424960786375437,7.82021171629514e-10,8.0,0.0,other
0.42741064314191096,7.821144774230826e-10,5.0,4.0,nucleotide
